question,minLabel,maxLabel
Do you prefer events to have food served?,Don't want at all,Absolutely need it
How loud do you like the music?,Low background hum,Ear-splitting intensity
What is your preferred crowd density?,Plenty of personal space,Shoulder-to-shoulder
How much do you value a strict dress code?,Casual/Streetwear,Formal/High Fashion
What is your stance on flashing strobe lights?,Keep it dark/steady,Full sensory overload
Do you prefer indoor or outdoor settings?,Underground/Indoor,Rooftop/Open air
How important are live performances (DJs/Bands)?,Just background music,The main attraction
What is your budget for entry fees?,Free/Cheap entry,Price is no object
How early do you like the event to peak?,Home by midnight,Sunlight at the exit
Do you prefer mainstream hits or underground tracks?,Top 40/Radio,Niche/Experimental
How important is dedicated seating or VIP booths?,I'll be standing/dancing,Need a home base
What is your preference for venue size?,Small intimate bar,Massive festival grounds
Do you value high-end cocktail menus?,Basic beer/rail drinks,Mixology/Craft focus
How far are you willing to travel?,Just around the corner,Across the city
Do you prefer themed/costume events?,Standard night out,Full immersion/Theme
How important is a "safe space" or inclusive policy?,Not a priority,Essential requirement
Do you like interaction with strangers?,Leave me alone,Social butterfly
How much do you value visual production/decor?,Clean and simple,Artistic/Extravagant
Do you prefer 18+ or 21+ environments?,All ages welcome,Strictly 21+
How important is the reputation of the venue?,New/Unknown spots,Renowned institutions
